,latitude_atual,longitude_atual
193,-23.460176,-46.6856546
194,-10.1249995,-36.1761498
195,-9.7203207,-35.906901
196,-9.760911,-35.8654999
197,-9.7183808,-35.8198148
198,-9.8306132,-35.8872095
199,-9.7167471,-35.8968193
200,-9.7456677,-35.88301939999999
201,-10.2862501,-36.5488517
202,-9.723917,-35.8160859
203,-9.712255899999999,-35.8985999
204,-9.7180862,-36.6763589
205,-9.7093324,-35.8994485
206,-9.7093324,-35.8994485
207,-9.716323299999999,-35.8926083
208,-9.5713058,-36.7819505
209,-9.5713058,-36.7819505
210,-9.750284599999999,-36.6408293
211,-9.662170699999999,-35.7126646
212,-9.6193077,-35.7201971
213,-9.660185199999999,-35.7272133
214,-9.7125059,-35.8119081
215,-9.659588,-35.7544536
216,0.0,0.0
217,-10.2832122,-36.55402490000001
218,-10.282516,-36.5528501
219,0.0,0.0
220,-10.2815716,-36.5539993
221,-10.2889455,-36.5839568
222,-9.7570894,-36.6699983
223,-9.7539123,-36.6677231
